a_number,fco,date_file_open,last_name,first_name,middle_name,mother,father,aka_last_name,aka_first_name,dob,cob,coc,coa,poe,doe,sex,soc_sec_no,i_94_adm_num,passport_num,fbi_number,driver_license_no,finger_print_code,travel_document,ident_fin
A384205495,JLB,2192017,Jerde,Rosemarie,Strosin,Carolee,,,Diedra,5161948,LWEFV,QUOWU,F17 - 203(a)(1) CHILD OF F16,SST,9222015,U,316432072,59859328852,A3S1S0Z3L5QFN9A3LIY0,Q9XF40CDJMIV,AM5373J1JMNCODOAITDO,UMEOEICSXMZGLCVQYSHB,IIPRPFRNSESRASPGISZI,4045
A892843872,MJB,11082013,Hartmann,Mistie,Mitchell,Billi,,Raynor,,10271946,HJRIZ,BLKSL,AM7 - SP/CH OF AM1/AM6,XSE,5012019,U,150339337,50199652609,MQ5BBF3IDW279ZT5UKDH,D2HX1H5AA69G,4H0YYBFRSDCB4Y43F1US,RKXOURKBOPZGWYKQJYSL,KNBAFXKXOYDNQRMPTFMB,40609
A862629316,QVK,12142018,Torphy,Dedra,Rice,,,Mann,,9281959,BRLNL,GTFBY,K14 - ACCOM SPOUSE/UNMAR CH CL K13,TXY,8032017,F,188683113,44979404634,A8RE8O46HBENK6AEVV9N,LHUT0I69CXOA,E4ONJ5FXMKI4U7QW63AN,JWEWOOANGKHIQXEPMIAL,OOLTDBULARTQTKGTBEUH,56225
A204450690,OVY,3102014,Gleichner,Audrey,,,,,,7021995,HLXZQ,FPNIG,TN2 - NAFTA PRINCIPAL (MEXICO),OVM,2032012,M,236896375,53205222095,MYN8ZO66COOKLVJLIH62,BQMKJBKD3K69,84WGL64DJVY9PSL0F1TH,JDQPVZKYQZUKCDDUMREM,UYQPZFYIIUESYTEJGUGT,911967
A555136467,FRB,3242015,Hansen,Wyatt,Walsh,Lanette,,,,10181989,VICDC,UUABL,SD2 - SPOUSE OF SD1 OR SD6,UJD,7122014,U,485268289,87820326247,RPS2V6O4LVZYAIDM1Q3Q,NJYSKILI5842,E53QW18161NTXMMRLI0U,JMTVUNECJOLHDEUUYEZF,HACQYPELQUQRSRZZHATX,4054541689
A267560990,VSF,2222015,Torphy,Neida,,,,Pfannerstill,Tova,8241994,RNFPK,VHPAH,P2M - LOST CITZ BY FOREIGN SERVICE,UAF,7202020,F,390424037,86033847782,EB4OCH4ZHAA1T1DDZ6NK,IFEZVX5L42CX,O867BK1MPRSYY31ADSJN,BYWOUUVPFXDVVTXCYPCM,ITJBMYFBMICPYILRPXJG,61157
A684782519,RUY,2112012,Johnson,Nickolas,Will,,Warner,Ortiz,Jay,5021981,IBOUY,KKZFN,IB3 - CHILD OF IB1,TEH,3222017,F,407778893,56401084285,I8Z699BHDE26KKZNSH14,LSHA0OJ43MHI,9XBPE4N52ESEQI8CKTB8,UZWSRZBVRHHPCGUBALJR,BOGRLAPUYINTANIDWNYW,68935624
A606414784,QDW,9122014,Hoeger,Katheryn,,,,Littel,Michell,1301987,XAYUN,QNZAC,N2 - OTHER REP. OF NATO MEMBER,MMC,10112017,M,282207065,10019936773,BNBA5TTP88KJ23E6RWPL,9S8W9TPL8UMT,0TU38KY4MX8NNZRVK2VX,IOGJTTPADMGXGUFGTJLE,FNNVUXUAOZOXJSVHGSZL,14124
A606799527,ZEL,9152020,Kulas,Temika,,,Louie,,,10061995,LQRXO,SQCXU,DT8 - SEC 134 CHILD OF DT6,NQE,4302016,F,103417939,46695920858,83L0U48QJXV840ZWBKHW,AR4F7Y4Z5C3G,O4O3IY91L2DI2NW5NETT,IXUTEJYVEVGRQFJHFEEK,KZRMBBYUBESBTOGQVHKM,3699890241
A884050121,BUR,10302017,Witting,Maxine,,,Steve,Bailey,,4261939,BYPLV,BUJNA,A17 - 203(a)(1) CHILD OF A16,UZL,4102020,M,677562090,42538874260,PHT87KEZP1H2M7N8PCGP,9B0R7ERDAFAN,LCIIV6F1OCPD6YLE1L6X,KRADPIERKDVCORBLBOYY,PUAGBINFCZYYHPZLNYKH,311815948
A740126107,JVN,5082020,McLaughlin,Trinidad,,Gilma,Eugenio,Ritchie,Nada,7121950,GFXPG,CSOTM,Z3 - REC ADM PERM RES PR 7/1/24,FFE,3182013,F,283241361,73351110890,7UOA15841B6VIOFEUBIT,CWIU6XJF9F94,RBAY6ZM1K7XNZG2XNIP9,CJLFZQFYRNGAWHCBWWSM,LWJQLPHJFLVFBTQAVEUN,6847668
A327147621,XON,7192013,Quitzon,Hank,Effertz,Kathryne,Judson,Renner,Yanira,3151969,KLOCV,UDYMP,C52 - 203(b)(5)(A) SPOUSE OF C51,YCT,1242018,F,741319318,31975935814,GSQN6GINE18YJY286C9I,5PWTYYGMN2H0,HXXV3NKTOZM3M07DTT3W,JIFAUBICCMDNEHZBSFAG,CCVQFPTNVCYWVBKGMMYT,79568501
A605955020,SFZ,1102018,Mueller,Noe,,Cyndy,Vincent,,,7011940,OYGZK,XSKLA,NP5 - NONPREFERENCE IMMIGRANT SEC314,UJP,9102015,M,491928746,52642431474,UJHJ6E209MI2EIH5RSQD,XK36NCB92LDZ,CY3RPTQUI8KDG4D7L7X7,YUHKQPITCXYNIBHWSSVL,HXYLBZXMOIGEXAFIZBFG,1840653
A610272602,MZL,10152018,Sanford,Arturo,,,Jerry,Herzog,,3191978,XEZEK,YDTTR,H1B - SPECIALITY OCCUPATION,ZIN,2192020,F,464116785,25866850561,DF6NKP2G5PK640F7IJU2,LGZR30T7XJZB,J4PV21KGNU1ZJNREV4NL,OYXQBJVOSUBPOAXYBVCP,IIUFDFYCXQHZCUTPNFYB,59300230
A100546442,KYS,3282014,Gusikowski,Lyman,Emard,,Freddie,,Toney,5262000,ESMLD,PAKCX,B2 - TEMPORARY VISITOR FOR PLEASURE,TGH,1132018,U,653093838,42602406920,A4VFSVT02WD4S96WBUK9,DMJP7TH1HL6R,C6X0BO13F8IC3EM1WB3R,WFPCNSHVURXLVCUEOKBQ,PIUCHXJSPLHJKHXMLJOZ,9356590160
A186942163,LHZ,5052012,Leuschke,Vito,Sporer,,,Stoltenberg,Nisha,8301998,XWLWE,MLXPT,E17 - 203(b)(1)(B) OUTSTND PROF-RESC,XAX,6042012,M,768260971,81736937162,O1O660LVUOE2V8EYHFCX,FV6U1X11ER7W,FBHOXQABW8J9N658DG66,YFJPOWBOTCPPUUNOHRYG,HMDEKSJQAONHPTOIAMYW,421352
A903745801,IPM,2042013,Weber,Luke,,,,,,3191997,COEMH,HLJIB,SL1 - 101(A)(27)(J) DEP JUV COURT,TDP,5182012,F,187737523,73118470918,9CA801KMT1IZAXKL0T4T,K2ARBJOVX60E,A1A1VQVNTG2W3I594WLN,XPGGLIFIMHVRMWQTAMPC,HHZXOKTIDCXMAMYAHLXT,53074
A158559591,NGP,2012016,Senger,Alayna,,,,,,1251954,WSMFV,EOCJL,DT - PAROLEE (DISTRICT/POE AUTH),ONR,9172016,M,392773568,30082221479,F5C08CPNVKS911TSJNGB,OI80CIBI0GYP,I4UB5PMPCRAIIXG9637U,GGNXZZFYXZWVXTAVCLVX,BQCRBCTZEFJSFTCIJWDG,77331288
A826160053,LAY,11252019,Botsford,Marguerite,Runte,,,Schulist,,8241940,LTKRP,FHXAH,SN2 - ACOMP SPOU OF SN1 OR SN6 IMMIG,JHN,12302019,F,363058893,59913528019,T780ETYSNKWR823S2TH8,R13BICDNMQD4,NXMGQWTMQ52DB84OJJ6I,VBBUJSMDQDFTPMTNGTMP,KSBNNQZNMTMVYSZUOAWV,7136044
A699547220,QOI,9192017,Hilll,Cristine,Weissnat,,,,,11061985,OQSMY,ADTZC,E26 - 203(b)(2) PROF/EXCPTNL ABILITY,HYV,12012014,F,472992706,45892844434,RDV5KATHZ87XMLJIQ233,J2X84LOS0OCO,S5KQQYC01I176GBJRZDR,TIAMJIBBTFZBRMUDAVJA,ZFBVPNELSJYYWGTDBNOP,54643323
A922306365,VSZ,7122013,Stehr,Ariana,Marquardt,Verna,,,Donn,7101969,JSYDU,ETISS,IR8 - ORPHAN ADOPTED ABROAD BY USC,IJR,11222017,M,237241918,96778116946,IQVQ13AKI5UDRKY89GA1,7DX0CBKSI5X4,5B1GKPUMSA7PVCE9A223,KAXLABVNFBYIRSZTJYSB,QPYDQEQKUYGIOVQDGSOV,9766043346
A206316804,KAZ,11292018,Franecki,Jeanie,Greenfelder,,Marvin,Davis,,9291952,PSZFL,OBHDV,Y13 - CHINESE REFUGEE,CUO,3262020,M,856767074,65172314878,5UZO7O9NIZPPX44M7QGV,HFNSCA7HBA20,U80JNKPSZN7L4ZQ0MVGG,NOSNUAVHNQOCMSLOMDUQ,TYAJNKXNPMYSHTQZRBGL,56754846
A998382495,PQY,5062017,Mosciski,Leo,Schumm,Lorna,,,,1081947,EMYDK,MPQNV,SR6 - 101(A)(27)(C) RELIG WORKER,MZG,12182015,M,605461642,73561244897,06WPKDNBI2L0B0ZOKWX4,U7GSL85XCPPC,3O6KZK0I6V1DLM9ICY9C,EDDECKPMOAOUPWACNHRD,ERYJHKPXQYXYXYMFILXQ,80337341
A934395784,AXY,9112016,Bechtelar,Roberto,Stark,Annabelle,,,,2271943,XPJVY,XTRGZ,FSM - CFA ADM FED STATES MICRONESIA,YAA,10222017,M,445356001,64201236087,3L2ISU2EG8NCR11PWRR9,S0F2YZAI3XEY,DG6OJ0L5IPXS6A30PJ7J,POBEWHAWEANVJQNMAUPD,RNEUYKYZNSIFYCCUKXSG,1918386807
A641134732,YNS,2052012,Stroman,Hai,Kunde,,,,Abel,7101996,KNRFE,ROXDF,C53 - 203(b)(5)(A) CHILD OF C51,TOB,11182017,M,678506651,44883530661,9KE5BMZ62WLNCMIU2THJ,04A9S2WIG9BK,1M5GAGF4TM9L0TOA2UWX,VKQBDGUJLYJNTVXQGGNX,YGGCUDZPTHTWRGKJTFUR,6966622176
A364247877,XWQ,9112019,King,Lilliana,Balistreri,,,,,2101993,VEKJJ,PIDBT,B27 - SLF-PET CHILD OF LPR,GTT,10152013,F,433595254,63717140351,PJDIS3QTXV4HY05F5C9W,MX9PR68PGZBA,5CVBSH8Y9RFV9WK4S6DA,NJZJOKWSFNVIREAKLRRE,YYTKCSIWUKIKCYWOTVYJ,358021
A841747712,CJC,9022015,Zemlak,Catherina,O'Connell,Kaitlyn,,,Nelda,9051939,GOAFB,XJXGO,P71 - 7TH PREF COND ENTRY REFUGEE,AGY,8272017,M,582138960,20141543601,ARLLSDB0XHXD97QWA58J,G7B8SI8NNW3H,CW3UBOZJ2WQTY0T71N69,YJRIDYMNKMPOGZJDITWO,OIHDZYRVXWRACBTTGIDU,3739037
A860818444,FBD,11102017,Klocko,Sueann,Koepp,Etha,,Witting,Sadye,6062001,ECMSV,ZLFNJ,SM5 - 101(A)(27)(K) SP/CH OF SM4/9,KKV,5162018,M,688065063,38178936676,G3XZSA79TR2T27XJ1HOE,E89RAZ1CV56Q,5O9UZ5EBA3LF1TKGHIYU,ESGDZTLCYKEMEQUAHMCV,MCAVKBHNLHMCBLUTAGGW,5224049
A862791870,VLG,4052012,Fay,Bennie,,,,,,8151935,DAUFP,NPYRC,B31 - SLF-PET MARR SON/DAUGH OF USC,OKZ,8262016,F,488886230,17865687597,EX6OEKUR30RFO8X5II9J,2VY8P1K55SEA,84WX6J1I7Q3W7NNAGMTR,XEXIXLEWRCBUHUVZFXQQ,PVKVKAGSNHWPYJTNFFXY,1731
A407276194,QKC,8262016,Brakus,Isaac,Schiller,,,,Rueben,6091962,ADLLM,KSFUA,"A1 - AMBASSADOR, DIPLOMAT",FRE,9262018,F,848010017,87695743718,Y4WCOOJKZIA597IRW3ZI,QX47QYQ9YKOJ,8YJU10TKCM6F2QPR9O1A,FGYBZDANGFQDGDUVPTDY,SGDPIMGRNUVAPBDMBJGA,756586203
A706925732,CEH,7152018,Boyer,Fred,Legros,Allison,Deshawn,Fahey,Ronny,1281994,CVJQT,TGDXS,K7 - BEN 3RD PREF PET APPR P 7/1/57,UEW,8092019,U,415791474,77159791693,EPS4JJWBTDH7BB6W3CP6,I8A32PZVOZ60,K8YKJBIUQ96OJ34BE7QD,HMGOEWMEFGGUUUPIHPRA,ILZNPOPEUQKLPVPRRBDJ,137549
A530050186,JQJ,4032017,O'Reilly,Parker,Ullrich,Tiffany,,,,1231952,PIMXJ,RGJRT,Y7 - GREEK REFUGEE IN GREECE,QCW,4172019,F,269046285,81608375649,GI08V6A8RHOUQHWUQP7A,WV8XPQCE3DI4,4WSK7M0DTGJQ69G35JRV,LCDZZWSTHIRKUWLWRZAK,MXRYWXIWOAKXWRMTYGLU,244108023
A444101902,QMM,12182012,Morar,Steven,,Malia,,,Zelda,4071956,XOXXX,OVRUH,SA7 - SPOUSE OF ALIEN CLASS SA1/SA6,MZY,1122016,F,981923872,15683883434,1PP02160Y0GJDN1ANAQG,O03CCATHSQ5Q,QKBPHMGGX1993FQT6HDK,EPZWUONIPPZJBAAVNOTC,AASTYPGPHUXVEUVSLGWY,3079529002
A540699191,ENG,12082012,Bahringer,Sabrina,,,Brent,,,5311940,HZGBO,PQTHI,SD2 - SPOUSE OF SD1 OR SD6,RVS,11272014,F,196484857,63002561108,9S5S1PTB4DPNJDT9HOKY,803NZKZ3IMPK,4H0R039YV2PE1HLGLFXQ,HDGKLKVXXMBICEZBOHIS,OZVNWNFKFAMKQMCABCMF,536912060
A812253811,AWF,12022013,Gulgowski,Latonia,Kassulke,,Octavio,Farrell,Palmer,1041958,FQJCJ,VJDHU,L1B - SPECIALIZED KNOWLEDGE ALIEN,HGF,8262012,M,457808621,11003950816,04WM8D8RFH7BV7VSRYHF,CQ4RJ0Q8F66V,OI688I93W8XHQNSJRGA9,SQJLBRKMOHNSODHQQDAF,NSVTYKYCTQUIGVJHZSPO,9430
A140855513,SET,9232020,Brekke,Angeline,Conroy,,Adan,Stehr,Jasper,10111984,XVVFD,TVQQH,CB1 - SPOUSE ALIEN GRNT LEGALIZATION,YGM,7112012,F,118664611,41559711400,BLVQ4MT1BJWABW1E068L,7GCLZU7MRZN9,ES8B1CY1UN990IJGOAKK,XSTQNFLZKDGFZITBFKOX,ZKFBXFGZLIUNKGONHVPW,942498
A479956156,ZPG,7122020,Tillman,Shawana,Greenholt,Kimberely,,,Tonita,9041994,KWGHV,NFOYP,"A1 - AMBASSADOR, DIPLOMAT",XBS,9162015,M,640098922,79869036084,GEFE8F3EWKODHMX2G19W,7W3BT5IWUUCY,7PZAAH23EEH7XLBZ9WJ8,QJETMTNMXWQELWXYMQJT,PIQOWWIXLIGCOBONPYWI,87679489
A180796815,WYO,12052011,Romaguera,Mitchel,Barton,Allene,Earnest,Beahan,,8271965,AZHXZ,MOHGS,C36 - 203(a)(3) MRD S/D OF USC,TYH,4272018,M,256374331,77996388320,AKZT676YPWNW7IB823L5,C8ZFOIZH589M,63TU4TBELWQHRB31AZEH,IBLOSBUHDQXPGHBZXKPL,HNUHCOKQJLEBOTUYFCGV,1334
A800248816,UKE,4142018,Tremblay,Santo,Botsford,Bev,,Wehner,,12121981,VHJIG,GDVRK,K6 - BEN 2ND PRE PET APPR P 7/1/57,RXB,12182016,M,671688025,97345557143,GYGWM6PHM6AJG5WZR17W,DPB6YWC2EJR5,TNXCJ0XCN73Q0RONMR93,DQAOTTBUXAKMKJCQYMSK,VQUUDTUNBCKUKAIGQSYI,88721424
A884225286,DXU,1232015,Metz,Rocco,,Linette,Isaiah,Paucek,Doria,5121937,ZHSKR,BFJIP,"BX8 - CHILD OF BX6, BX7, EXEMPT",CGM,11142014,U,638639696,82969994587,JD64GI503MQFUBADMH95,XAMI60IEAD02,F6Q42JVB6Q0LWNEFS4UD,PEZCPQQTTODTRGHITZOL,ADWRQNGZOOHIPCFTOLDF,4106
A935586063,CJE,2182014,Denesik,Linwood,,Deann,,,,7191948,HMIHW,UAOOO,A33 - 203(a)(3) CHILD OF A31,DOR,1252014,U,566482297,20189453794,5CPRN51B9EI3VU3LJXT7,B142TKXXKL0G,2U99O4OATKAA1BCPJ89D,ZWIBHZDFRZDNOSGJWLWB,HXOYWJUIUUIVNFWQPDRN,945947
A452274503,VRU,1012020,Champlin,Eleanore,Berge,,Graig,Klocko,Clinton,9091986,FETSH,FURVH,NP5 - NONPREFERENCE IMMIGRANT SEC314,GGF,9192013,F,319291181,26068934456,BNGZBJC74WCNHL171NY2,IZ20RGVJB7SP,IA7V1KUXW6I5R1HR9BUH,RXVWONPOZWYCOWFKWOJX,SLNDZYCPPJFDNELQFJHH,4055769
A969880786,HGE,4202012,Abshire,Madelene,,,Moses,Mitchell,Ira,3181952,QPKBJ,UEDFM,L1 - INTRA-COMP TRANSFEREE TO CONT,LKL,11192013,M,534752559,59979278142,1YX6IZMPG4Q5UX474GNC,GCDE9WR8937H,MLZXV5BQFCF26LV7N9LJ,LYNJTQANNFMZCOTMSJZI,INLCVSRRCZLVNHOFTHOV,4080
A385076716,TAK,1222014,Lesch,Lance,,,,Hessel,Marc,6191988,QAAEW,EERTZ,S1 - SPECIAL AGRICULTURAL WORKER,COL,12312018,U,186324443,64038350926,4MV1CMQ4U7YMQ4ZVD1M7,GW00OFZAWBW9,FHN5IK6UUSDZ9A93XOQ7,SCZYWKFHQHWUUXPSWZFK,FWQWQEMPISZNTRWDIXKW,63507
A293235357,HPK,11132016,Hammes,Waldo,,Arnetta,,Feeney,Nicolas,8121971,LQUJN,PBOSM,R52 - INV PILOT PRO SPOUSE ADM-NON-T,BBK,11122016,U,657753685,61317436290,855YKX50RAEXLBYGNI21,BL2WW66TOQ8V,YK53P2LQNPIW6G27FXTR,CXDDGPDGBINSSHZHSZMF,HERTYHZTYVSKIASCGMRM,60054
A448448298,TIF,4282014,Schowalter,Kandace,,,,O'Reilly,Elisha,2051948,LMTZR,ESZBR,F27 - 203(a)(2) CHILD OF LPR,SAW,9122014,M,954050714,60368162491,96LFV3DIQKP6W4P1N2JP,5K0DSCIBKPX2,KESQO9Q21DMRA1X8W2CW,SBBRXCAHGUDAXXOSLHUW,HTCXBKRPRJVRSSMBUZSC,3062042
A803264958,UPA,11172011,Dickens,Milan,Feeney,,Ralph,Bauch,Nickolas,1081942,IXYEG,KHTBN,IR4 - ORPHAN TO BE ADOPTED BY USC,HNI,9142014,U,785294729,81167625163,600ZOAE0XJQCQ8NA5T0J,5UGD83XJE1QF,VU9LVMCTVE539Y4ES8GV,BUUNZBSIACZJIGRHYQSD,IBDBOUJMVEQWLYSBPGMB,2242895
A303757638,FWA,10222017,Murazik,Porsha,,Aundrea,,Goldner,,5211962,URPNJ,WEFYF,XA3 - CH B SUB TO ISSUE VISA TO PAR,AXJ,5272017,F,543696507,59018707843,IY440W9ZPOP3V50QB2BG,K8IM5PWQIVT2,3OLV45H4PQGPLF7T9VUE,JKETNMXWJWLPRPYCOFVA,NDJOTUYBKHXKZBCNFVFU,43002
A708404747,BXZ,5112020,Goldner,Brandon,,Susanna,,Rempel,Mike,5102001,IXKJA,AUKJW,"CR6 - SPOUSE OF USC, CONDITIONAL",ANI,5222013,F,459656742,40858811357,ZD938ZYZ35GROQZJOXEQ,SF0L6T6KI77O,NQ2I49RGF6ISXJJN0IT0,KCHIAOAWPOHAZUGPQZAI,MYHOKURSSDMVMBHDGOVS,61590151
A675839128,SBR,2112018,Bergstrom,Herman,,,,,,11061996,BXMLM,ETXBN,"A3 - ATTENDANTS OF A-1, A-2",NGY,5092015,U,552355560,84399365676,HZUF4NF2OIFYUTY363RL,0T6MRF5QPYWS,ASH8F8WQVZSWICCQ8Y32,AJGPISFACYFBAXOCTRCQ,ERXGJZSNYNYGNZATTTDN,9103057660
A610869810,XEY,12072015,Berge,Lino,,,,,Tommy,2211976,ABULH,JKNRM,SR3 - 101(A)(27)(C) CHILD OF RW,LAN,8182017,U,909222806,33811150460,5N2LB39P8QHLCRWI0HHA,JEX31MXR6LV8,O3H110MNFH0SP3ITMONV,SMKUNHSWWEXOJZVWTBJB,ROFNBJOBYAJJNRFYXRKK,5522680
A997680804,MMT,5172018,Buckridge,Carmine,,,Leandro,,Song,1191934,CJGTO,MZKJV,GA8 - CHILD - IRAQI NATIONAL,BWN,10082015,F,315658354,33797659831,A9A4I0YXF4QE74MR2NTA,4L0S1AKSILUI,I8HVN94CVQ2G3JMI90AK,BRLVNFKSYHVHKPFISGOL,USBXHAMDLAKWPMCBREND,37122
A617009776,JXA,3112016,Volkman,Frank,McCullough,Chana,Augustus,,,10271940,BQOUL,BKUOG,XA - CH B SUB TO ISSUE VISA TO PAR,BPC,8012016,U,452406167,65603274150,9TR9T6YU8QDCJW9SWO08,UMLVL3D3V3FU,4D3IVLUD90SBS6SPJK2D,RRXXDNCWKPCPNAZFKGTX,QALQKHJACNINBICMVQDA,7498117
A331233356,BYL,1072019,Glover,Candance,,Fannie,Jacob,Corkery,,8041991,GGAGG,FKRSW,R56 - INV PILOT PRO PRIN ADJ-NON-T,WLN,6032018,M,160599109,56267677779,B1CJF7QQBU51KME69Q10,9WE8SNFDG2VV,75LSF7EWACZGKB5DX5NT,YIZBAETHMMMUOUESHVUB,HMLWEQEBZASJUEWLHVCE,5113930
A809102299,EAT,10252015,Mertz,Thomas,Block,,Pierre,Osinski,Rene,12021967,ICASY,EZWAD,AM6 - AMERIASIAN B. VIET 1/1/62,QUW,11122014,U,196535910,96481549782,438JLION1LPRESWJG0V2,VW0FI04O9R8F,YLRZM52ELDBY8EU0F4TR,FSWUAVIEEOCWLGNFCPFI,YMSAJYLCUHXGYPKGJILS,65421059
A758984711,JFD,12062012,Stark,Wallace,,Majorie,,,Tommie,8131968,HEXLJ,WVPIO,F22 - 203(a)(2) CHILD OF F21,NAE,5172019,U,314077135,70962833505,8Z5N92MQIY3PALVG8SID,6VN6L3LZ11AR,8AALF1WK20OZX8DOJPH7,RMHPFMBJFZWYBAJAENXC,OXOZZIIMVIWBIEWPAFIE,88110
A577053761,SRZ,9162013,Kshlerin,Bret,Konopelski,,Martin,,,5301933,DVJWP,AJSWV,K13 - NETHERLANDS NATIONAL DISP IND,UZF,10302019,F,456763963,52751317221,0TNW1XZ59SVQJ01FVDXP,9VZPQ6NR18VP,PS1ET2UHGLER638WA7I5,PAODBDCIGHFQGKQMTANS,NVOORKMJKGKAHQEWJLHU,8178763933
A232233773,SFC,1142016,Lesch,Clayton,Torphy,Luetta,,,,10141950,ZAJJI,JOTVV,DA - ADVANCE PAROLE (DISTRICT AUTH),OID,2282015,U,531869207,39706416611,1GI3V3B0UHS4OSPH6LU0,O0BQ0R67YWI7,LNO0W5TTCSCBFB97N6HY,IHQEMJPOJHZDNLJJIWNA,RMUUFINOYMEBAZKPJZPV,7502904
A369267870,BCP,3252014,Schuppe,Orlando,,Jene,Dewey,,Shaina,6252001,QOFQH,UVTGW,P62 - 6TH PREF SPOUSE CLASS P61-P66,CHI,5112013,F,419289411,54484680551,4UG8YT3ZCR03MSYTGEK0,436C3RETE4WS,EAN734PKJ6BHWVLDPO4F,IFIRDQTGHTFXWESMHYZA,NZXLDESVPGPOHZSNOSXN,4006
A840230984,DFM,4182012,Lockman,Britteny,,Daisey,Maurice,Rodriguez,,8051993,RVKLE,OGGXD,RE5 - HAITIAN W/GRANTED REFUGEE STAT,RIZ,6022018,M,742427397,49631543479,IB3Z1YHN4OOSTQQS88J6,E94DQ54AWASL,AYHMQS5417KH6IU6D8IO,WSMRXQYKSOTGCRBAEEMG,JULOAMWCZCYFCPHMKWLN,97649
A483107024,TPW,4182019,Stehr,Donette,Stiedemann,,Robin,,,5071935,LDJKI,MRTCW,SA1 - ALIEN BORN INDEP W. HEMIS CTRY,TWP,8182015,M,358941541,74584768063,FRSE06N4VKDFG51NL0X8,6N9CG5ASAN2M,G6OXRAY06WMLD70Y4IEN,ORVMRBPMCYFKHZCMCQKB,EFTAFWUABFQIWQZBLVFY,2375684
A250917266,NZZ,2142016,Adams,Maryjane,Fahey,Tanya,,,,7241978,JXDHT,FYDLL,IN - INDEFINITE PAROLE,UPO,7162018,F,914712306,28905757979,2TLLJBH6WHU7ED3BHV8C,U3CTJ04YJ2NI,WXCWRPU13SG8QWN8708L,LQPRAPOBHKYWLJWGZABB,OIYXMBDQEYIUKZVHSILN,57610307
A884281118,AID,12152012,Lockman,Fernande,Hudson,,Jarrett,,,3211951,JTYZJ,QEGMZ,ABD - Abandonment of Status,VTK,3192017,F,330759974,87022631740,2ZOR271EYESOB4K1DZIV,99EB2KCV9CLH,WLH466Z4K907INP1LGXQ,SVRLIEANBWXQMLWGQDTO,YBCFIJCJGZYYLTQAIPAE,92495
A592176281,ATG,1272019,Pollich,Ty,Koepp,,Stanford,Roberts,,4301956,AOVKX,WFDFX,NP7 - ADJUSTMENT OF NP2,JXI,9102017,F,130858203,48642875264,W1TKCZ3ZXL9PHLDBT49S,EP5AZDEGFM24,PG0S81RDH6G6PIW9H0EP,BBFPWBZVZIWUSVGRUIQA,KRFENMKAGORDGXLJIZBW,43209
A454996530,AHG,7082014,Walker,Stanton,Turner,,,,,4031988,VCNWZ,YSGXB,C57 - 203(b)(5)(A) SPOUSE OF C56,QME,4142019,F,748740475,49366285152,K9B1MYDW3NMO29W5RNLZ,V0WM1A81VAJJ,SRWK9MQGYJF3FUY5H5N6,KQIZBTFXALIOHBZKYYGU,NZOLUPYJLCFLIOMPGPOS,3095813516
A386648712,PFG,11272017,Stokes,Jody,,Amanda,Amos,Little,,8221935,DSKWZ,DGSGX,B26 - SLF-PET SPOUSE OF LPR,KNW,6292017,U,757675121,62187461592,6SP2Q72S5AE13WSNPOCQ,AE5FZE8I6V14,YJW8AOA8AVLE9I5K2A6V,QXELOKGJWXIJQCIKAEZO,HWRWICTMAMAOJRGDFJCU,68541
A210976301,JUZ,1102012,Leuschke,Rickie,,,,Ferry,Bennie,8081951,ZRWZO,EZQIS,SF2 - ACCOM SPOUSE/CHILD OF CL SF1,XYE,1232016,F,315725974,78504063874,UVU6SOQ16AX2XSPSXC46,RM2D9CXHEYU7,88L86W88MDHAGRTUWLWY,OAFBRFTSQHALSSTMWGLR,ISVWSWVNBIXZXZSBUNHJ,115111932
A505002614,OYV,5172017,Harber,Cassi,Schuppe,Roxy,,,Erasmo,3031988,OEBDL,TGPZN,E19 - 203(b)(1) SPOUSE OF PRI WORKER,MYN,11092013,U,300498429,39585301357,R8SC36P1GHIM4KUVWBC1,ITKWC9HEQO57,MNU6220XB9MA6NY2A19W,WEXXOITFXAPJKWEJNIAA,KBLPWAYNZEKTWWGILHSQ,9589474895
A622974866,KFO,3312013,Jenkins,Freida,,,Enrique,Gulgowski,,8151992,RZNSS,PVXSJ,T1 - 1ST PREF SELECTED ALIEN,SCS,4272013,F,389887440,99334589443,NVH9Y49K8NL0RJ2GSQWF,Z068URIMD9LW,D3LG8O2SP221AA2N6L7T,KBXHCGXQQYFWSODFPUFP,GZRUYTMKPOZOSOSFSRFM,541047283
A843907608,GKL,2292016,Cummerata,Antonetta,Pollich,Cheree,,Terry,Christian,4161942,PMXGJ,QQAWZ,AS8 - CHILD OF AS6,DQM,10202019,M,960653292,49812088654,72D7TNV9TFDI2NIJ2CBK,ICL5ZJS7PQ6C,MU80PSG9FB4O6DSRJ2DC,MZFNTALQHXHMUPIFEQRX,GSKYHKRFZYFTLLKYLBYL,1606922
A811587845,BRT,7242018,Schaefer,Kennith,Kreiger,,,,,12111962,BADAA,UBUQQ,P38 - CHILD OF P31 OR P36 ALIEN,WDD,9202018,U,565428917,90654184366,ZF2KMXZJE2VYJBM42ZF4,C9EUMU6OO8V0,NLL868N4XEPQK8NA6YV0,AWTNCQCPGZSJCMRTFEYD,OCOGCGJUZUAHDKQJJENU,85190645
